Caching statewide totals and rates...
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Barrington, RI0010100                       |
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Offense                                     | Agency count | State count | Agency rate        | State rate          | +/-                  |
| Incest                                      | 0            | 2           | NaN         | 0.18952782931881804 | NaN      |
| Fondling                                    | 1            | 255         | Infinity    | 24.1647982381493    | Infinity |
| Bribery                                     | 0            | 2           | NaN         | 0.18952782931881804 | NaN      |
| Human Trafficking                           | 0            | 6           | NaN         | 0.5685834879564541  | NaN      |
| Human Trafficking                           | 0            | 1           | NaN         | 0.09476391465940902 | NaN      |
| Purchasing Prostitution                     | 0            | 3           | NaN         | 0.28429174397822704 | NaN      |
| Identity Theft                              | 0            | 2           | NaN         | 0.18952782931881804 | NaN      |
| Hacking/Computer Invasion                   | 0            | 1           | NaN         | 0.09476391465940902 | NaN      |
| Animal Cruelty                              | 0            | 0           | NaN         | 0.0                 | NaN      |
+---------------------------------------------+--------------+-------------+-------------+---------------------+----------+
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Burrillville, RI0041600                     |
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Offense                                     | Agency count | State count | Agency rate        | State rate          | +/-                  |
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Not Specified                               | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Justifiable Homicide                        | 0            | 2           | 0.0                | 0.18952782931881804 | -0.18952782931881804 |
| False Pretenses/Swindle/Confidence Game     | 7            | 2619        | 42.8974138987621   | 248.18669249299222  | -205.28927859423013  |
| Statutory Rape                              | 0            | 28          | 0.0                | 2.6533896104634525  | -2.6533896104634525  |
| Sexual Assault With An Object               | 3            | 36          | 18.38460595661233  | 3.4115009277387247  | 14.973105028873604   |
| Destruction/Damage/Vandalism of Property    | 61           | 7909        | 373.82032111778403 | 749.4878010412659   | -375.6674799234819   |
| Family Offenses                             | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Theft of Motor Vehicle Parts or Accessories | 4            | 850         | 24.512807942149774 | 80.54932746049766   | -56.03651951834789   |
| Pornography/Obscene Material                | 2            | 175         | 12.256403971074887 | 16.583685065396576  | -4.327281094321689   |
| Sports Tampering                            | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Driving Under the Influence                 | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Counterfeiting/Forgery                      | 3            | 553         | 18.38460595661233  | 52.40444480665318   | -34.019838850040856  |
| Welfare Fraud                               | 0            | 8           | 0.0                | 0.7581113172752721  | -0.7581113172752721  |
